2,1,1
9,1,1
12,1,1
18,1,1
20,1,1
21,1,1
24,1,1
26,1,1
31,1,1
36,1,1
39,1,1
43,1,1
44,1,1
50,1,1
57,1,1
61,1,1
63,1,1
66,1,1
75,1,1
82,1,1
84,1,1
93,1,1
94,1,1
1,2,1
4,2,1
5,2,1
8,2,1
13,2,1
23,2,1
24,2,1
31,2,1
36,2,1
37,2,1
65,2,1
66,2,1
71,2,1
82,2,1
84,2,1
85,2,1
88,2,1
4,3,1
6,3,1
7,3,1
11,3,1
14,3,1
16,3,1
27,3,1
32,3,1
33,3,1
34,3,1
35,3,1
36,3,1
38,3,1
46,3,1
54,3,1
58,3,1
60,3,1
68,3,1
81,3,1
89,3,1
91,3,1
92,3,1
97,3,1
98,3,1
99,3,1
100,3,1
2,4,1
3,4,1
12,4,1
15,4,1
18,4,1
23,4,1
25,4,1
26,4,1
27,4,1
57,4,1
65,4,1
66,4,1
71,4,1
73,4,1
75,4,1
79,4,1
85,4,1
88,4,1
93,4,1
95,4,1
97,4,1
2,5,1
15,5,1
19,5,1
21,5,1
29,5,1
31,5,1
36,5,1
43,5,1
52,5,1
61,5,1
63,5,1
67,5,1
71,5,1
82,5,1
83,5,1
90,5,1
94,5,1
97,5,1
3,6,1
7,6,1
11,6,1
16,6,1
17,6,1
18,6,1
22,6,1
28,6,1
35,6,1
38,6,1
41,6,1
42,6,1
49,6,1
50,6,1
54,6,1
57,6,1
60,6,1
62,6,1
68,6,1
69,6,1
70,6,1
74,6,1
75,6,1
78,6,1
81,6,1
91,6,1
100,6,1
3,7,1
6,7,1
11,7,1
14,7,1
17,7,1
20,7,1
26,7,1
27,7,1
28,7,1
30,7,1
32,7,1
37,7,1
39,7,1
40,7,1
44,7,1
45,7,1
46,7,1
54,7,1
58,7,1
62,7,1
68,7,1
75,7,1
80,7,1
81,7,1
86,7,1
89,7,1
91,7,1
93,7,1
98,7,1
99,7,1
2,8,1
9,8,1
10,8,1
13,8,1
15,8,1
20,8,1
21,8,1
23,8,1
25,8,1
37,8,1
39,8,1
43,8,1
50,8,1
52,8,1
63,8,1
67,8,1
71,8,1
73,8,1
75,8,1
95,8,1
97,8,1
1,9,1
8,9,1
10,9,1
13,9,1
25,9,1
36,9,1
52,9,1
53,9,1
56,9,1
57,9,1
63,9,1
65,9,1
67,9,1
73,9,1
85,9,1
87,9,1
94,9,1
95,9,1
8,10,1
9,10,1
12,10,1
18,10,1
26,10,1
27,10,1
29,10,1
44,10,1
48,10,1
52,10,1
53,10,1
61,10,1
64,10,1
65,10,1
71,10,1
75,10,1
85,10,1
88,10,1
3,11,1
6,11,1
7,11,1
14,11,1
30,11,1
33,11,1
34,11,1
42,11,1
45,11,1
47,11,1
49,11,1
